N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
7.0,94.0,45.2,0.28126017699115047,0,Hanna2007,1.331912761774403
7.0,68.0,52.2,0.3109370881226054,1,Hanna2007,
5.0,94.0,62.7,0.3402288676236045,0,Hanna2007,1.3468815961719773
10.0,99.0,69.6,0.35334149425287364,1,Hanna2007,1.1947765506103787
7.0,20.0,77.3,0.361542276843467,1,Hanna2007,0.11207757528781782
7.0,80.0,89.6,0.3640510714285714,1,Hanna2007,
9.0,78.0,98.0,0.3680525510204082,1,Hanna2007,0.10176452468415449
4.0,78.0,107.1,0.37075065359477133,1,Hanna2007,
14.0,82.0,7.5,0.7678736,1,Hanna2007,0.38755793398463684
5.0,98.0,14.6,0.6636446575342465,0,Hanna2007,1.5676092132717592
6.0,82.0,23.4,0.6045677777777779,1,Hanna2007,0.2766478934979044
21.0,65.0,34.3,0.565139941690962,1,Hanna2007,0.2878538547139104
15.0,81.0,45.5,0.5379805714285714,1,Hanna2007,0.24294279072311845
21.0,13.0,55.0,0.5199224727272727,1,Hanna2007,0.3233977092047604
7.0,99.0,73.9,0.49191155615696885,0,Hanna2007,1.309830245683211
6.0,65.0,24.9,0.26808610441767067,1,Hanna2007,0.10795100447655268
4.0,78.0,40.9,0.28942608801955994,0,Hanna2007,0.12373098604198314
8.0,33.0,47.4,0.3165856540084388,1,Hanna2007,0.07459588438463007
6.0,99.0,54.6,0.34236380952380946,0,Hanna2007,1.3702652132637076
10.0,98.0,61.2,0.35820905228758165,1,Hanna2007,1.2089703348147496
42.0,17.0,71.7,0.3676031938633194,0,Hanna2007,1.3808486906992055
39.0,11.0,82.0,0.37300012195121957,0,Hanna2007,1.3163156588082885
47.0,4.0,97.1,0.3714616786817714,0,Hanna2007,1.5705470157699533
2.0,51.0,16.8,0.3545378571428571,1,Hanna2007,
6.0,83.0,26.3,0.41771768060836506,1,Hanna2007,0.27737108322839454
6.0,83.0,33.4,0.436547005988024,1,Hanna2007,0.24773043613281695
5.0,94.0,40.8,0.4502193137254903,1,Hanna2007,1.3887951447787508
6.0,92.0,48.9,0.4500153374233129,0,Hanna2007,1.337248601871114
14.0,9.0,55.9,0.44874302325581394,1,Hanna2007,0.23800737056270868
45.0,5.0,64.5,0.44419790697674416,0,Hanna2007,1.467918370867616
39.0,8.0,75.1,0.4384557256990679,0,Hanna2007,1.3071976857549052
7.0,98.0,83.5,0.43767107784431136,0,Hanna2007,1.2858911520454284
3.0,51.0,16.1,0.37785751552795027,1,Hanna2007,
7.0,9.0,25.1,0.4190500796812749,1,Hanna2007,0.05056947991757853
6.0,98.0,32.9,0.4416238297872341,0,Hanna2007,1.4410850546207123
4.0,100.0,39.6,0.4530040404040404,1,Hanna2007,1.447775229151309
6.0,100.0,49.2,0.45460365853658535,1,Hanna2007,1.386943586972693
10.0,98.0,57.6,0.4575909722222222,0,Hanna2007,0.4211682692469405
13.0,97.0,64.3,0.4578822395023328,0,Hanna2007,0.3334113649360392
9.0,9.0,76.4,0.449813612565445,1,Hanna2007,0.21532325098265473
4.0,97.0,87.1,0.44489492537313435,0,Hanna2007,1.3436620282395793
7.0,97.0,16.8,0.2682952380952381,0,Hanna2007,1.4981014723730912
3.0,87.0,25.8,0.35777209302325585,1,Hanna2007,1.4179063507504224
7.0,90.0,34.2,0.399312865497076,1,Hanna2007,0.36189797961420156
7.0,96.0,42.5,0.4215181176470588,1,Hanna2007,1.3525236783077366
4.0,100.0,50.5,0.4348049504950496,0,Hanna2007,1.4145757098798755
7.0,88.0,57.6,0.4384936111111111,1,Hanna2007,0.14079264765528546
5.0,98.0,65.1,0.4415149462365592,1,Hanna2007,1.367985383224738
7.0,100.0,75.8,0.44250765171503964,0,Hanna2007,1.3131889500944132
32.0,20.0,88.0,0.43499654545454547,0,Hanna2007,1.0268741950661227
45.0,11.0,96.3,0.4293779854620976,0,Hanna2007,1.5270371464744095
5.0,95.0,8.1,0.5722728395061729,0,Hanna2007,1.5790096245216099
5.0,99.0,14.5,0.5670241379310345,0,Hanna2007,1.5759544185242218
5.0,91.0,24.0,0.5491904166666667,1,Hanna2007,1.454108051193656
3.0,78.0,33.7,0.5344890207715133,1,Hanna2007,0.1875874515095512
16.0,92.0,42.9,0.5208030303030304,1,Hanna2007,0.3145184783228947
16.0,80.0,53.6,0.5050310820895522,1,Hanna2007,0.25438269992554574
